                                                         结算单                                                        

账户：12020088808
日期：20170216
                                                         资金状况                                          币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金：      4445396.88 								 交割手续费：              0.00
出入金：                  0.00 								 期末结存：          4374800.87
平仓盈亏：           -26825.00 								 保证金占用：        1323682.95
持仓盈亏：           -42600.00 								 可用资金：          3051117.92
手续费：               1171.01 								 风险度：                30.26%


--------------------------------------------------------持仓明细-------------------------------------------------------

|     合约代码    |    交易所 | 开仓日期| 投/保| 买/卖|  手数 |    开仓价   |    结算价   |   持仓盈亏  |    保证金   |
|            TA705|     郑商所| 20170216|    卖|  投机|     5678.000|      1|   开仓|           3.17| 2017021601877217|
|            TA705|     郑商所| 20170216|    卖|  投机|     5678.000|      1|   开仓|           3.17| 2017021601877219|
|            TA705|     郑商所| 20170216|    卖|  投机|     5678.000|      3|   开仓|           9.50| 2017021601877221|
|            TA705|     郑商所| 20170216|    卖|  投机|     5654.000|      1|   平今|           3.17| 2017021602068922|
|            MA705|     郑商所| 20170216|    卖|  投机|     3031.000|      3|   平今|           6.35| 2017021602070803|
|            MA705|     郑商所| 20170216|    卖|  投机|     3030.000|      1|   平今|           2.12| 2017021602070806|
|            MA705|     郑商所| 20170216|    卖|  投机|     3030.000|      4|   平今|           8.47| 2017021602070807|
|            MA705|     郑商所| 20170216|    卖|  投机|     3030.000|      8|   开仓|          16.93| 2017021602070813|
|            MA705|     郑商所| 20170216|    卖|  投机|     3030.000|      5|   开仓|          10.58| 2017021602070815|
|            MA705|     郑商所| 20170216|  买  |  投机|     3045.000|      1|   平今|           6.32| 2017021602116938|
|            y1705|     大商所| 20170216|  买  |  投机|     6836.000|      7|   平今|          18.64|         10032238|
|           jd1705|     大商所| 20170216|    卖|  投机|     3322.000|      1|   开仓|           5.25|         10181662|
|           jd1705|     大商所| 20170216|    卖|  投机|     3322.000|      1|   开仓|           5.25|         10181663|
|           jd1705|     大商所| 20170216|    卖|  投机|     3322.000|      1|   开仓|           5.25|         10181664|
|           jd1705|     大商所| 20170216|    卖|  投机|     3322.000|      1|   开仓|           5.25|         10181665|
|            m1705|     大商所| 20170216|  买  |  投机|     2983.000|      3|   开仓|           4.77|         10230728|
|            c1705|     大商所| 20170216|  买  |  投机|     1579.000|     18|   平仓|          22.84|         10279388|
|            p1705|     大商所| 20170216|    卖|  投机|     6136.000|      5|   开仓|          13.29|         10320983|
|            p1705|     大商所| 20170216|  买  |  投机|     6072.000|      1|   平今|           2.66|         10721013|
|            p1705|     大商所| 20170216|  买  |  投机|     6048.000|      1|   平今|           2.66|         10740730|
|           jm1705|     大商所| 20170216|  买  |  投机|     1225.000|      2|   开仓|         111.21|         30025583|
|            l1705|     大商所| 20170216|    卖|  投机|    10115.000|      1|   平今|           2.13|         30129918|
|           pp1705|     大商所| 20170216|    卖|  投机|     9119.000|      2|   平今|           5.80|         30224831|
|            j1705|     大商所| 20170216|  买  |  投机|     1736.000|      2|   开仓|         262.67|         30392303|
|            j1705|     大商所| 20170216|    卖|  投机|     1739.000|      1|   平今|         131.56|         30406730|
|           pp1705|     大商所| 20170216|    卖|  投机|     9112.000|      2|   开仓|          23.01|         30444263|
|            l1705|     大商所| 20170216|    卖|  投机|     9950.000|      2|   开仓|           4.25|         30562633|
|            i1705|     大商所| 20170216|    卖|  投机|      683.000|      5|   平仓|          43.22|         30597013|
|           ru1705|     上期所| 20170216|    卖|  投机|    21325.000|      1|   平仓|          10.19|            73280|
|           ru1705|     上期所| 20170216|    卖|  投机|    21325.000|      1|   开仓|          10.19|            73282|
